Coment,Status
me sahodarawarun age kirima loku deyak eth daruwekuta thaththek wagema biridekuta swamipurushayek nethi una ekai duka,Neutral 
gothrikayonta therenne na wahal manasikathwayen midenna amarui midunu daata ape rata diyunuy aakalpa walin jaya wewa,Offensive 
sachini akkage dance eka nis thma meka balnna awe eth patta song eka suba gaman ayyee,Neutral 
ammo ekadigata parak song eka ahuwa marama lassanai ayiya wish you all the best wow suberb,Neutral 
ane huka tamai pakya match ka wtra lakunj ghnnetuwa ekaka ghuwa kyl puka denwa gotha ponnaya,Hate
song eke amuthu pattama gathiyak thiyenne eka nam maarayi video eka meeta wada supiriyata thibunanam niyamayi,Neutral 
me wage dewal samajeta bo karanna uthum kalawa yodaganna epa hakiyaw yahapath de samajeta denna yoda ganna,Neutral 
youtube eken video eka balanta bari una comment tik kiyawanakots sinduwath iwarai yakkage comments ne dsla thiyenne,Neutral 
hadiyan hutto umbala ee kale gahapu sindu kochchara lassanaida dan gahna sindu walata thuwakkuwak aragena pukata thiyaganin,Offensive 
pita ratawal wala tools thiyagena okkoma kapala sidda karanawa ape lankawe ai kaatwath tools pawixhchi karanna bari  🤷 🤷,Neutral 
samahra weita police karaynta hukanna free dunna nati nisa wnna ati alluwa a wga sakkli inna policeya,Offensive 
iraj has done a bullshit to get some more views and subs marketing catholic contractors well done,Neutral 
anunge deyak langa thiya ganna be policiyata baara denna thibuna salli denawa kiwwama genath dunna wenna berida,Neutral 
pin athwai mahathayo ubala dan pawul kata athiwenna hambakaragaththane oi putuwe edan sumathipalata nam lajjawak na perethaya,Offensive 
api punnci rate kare ganikaveyo kollani prewesam weyaw tana dekapennala lannwenna yanne hukaala aennwayau kare gahaganne apa,Offensive 
ane prahathanthrawade rata wikunala ranwiruwo hire dala badu thel ahass usata giyath kamak na prajathanrawade magula thami,Offensive 
hello priyantha ayie oyage school eka lamai anith patthe watthe aba gahata gall gahuwe nadda mathakada budusaranai,Neutral 
eyage company ekaka wada karala balannako sewakayanta salakana widiha anthimai ehema salli ithuru karoth godak aya pohosath,Offensive 
machan heshitha thawath oya ahaka yana badu prasidda karanna epa aluth deyak karagena imu oin giya athi ,Offensive 
mewa podi lamayit balanawa ratata loketa eti dryakkarapan awajathakayoo toge kella genella oya tika ahapan wesige puthoo ,Neutral 
methana thiyenne gayanayen idiriyata emak neme sex walin janapriya veemak aththatama lankawa ganapuduma kala kireemak thiyenne mehema yanakota,Neutral 
moda genu saha moda minissu mun hadandabe sinhala jathiya iwara venawa me wage kapati thambinta mun ahuvenawa modayo,Offensive 
wate inna aya ekkanam anne chande dena api thawa parak hithanna wei,Neutral 
ammata koronanam putatat atina ai aran nogiya gadara dannak hitiyanam dannama ganiyanna,Neutral 
the man conducting session doesn;t know about buddhism its a shame this menio explains things to this silly person,Neutral 
mrs leuke mr leuke kiya kiya inna welawe adoo duwapiyauu kuwa nam iwarane,Neutral 
mokakda bn oke ethi weradda owwa wedi wenna wenna duushana adu wenawa bn,Neutral 
maha weerakmk nemei me munsunta udaw karnna news walata danna deyak nethiwa athi,Neutral 
samita kiwani minihatada kimba danna yanna ysko ohoma hitiya ta dan naki baduwaj,Hate
ithin hodaine karapu de kage unath prathipaththi weradinam me tika thama wenna one,Neutral 
lassanai sanuka mn eththatama kemati sinduwata hithata mkkda kyla therenne hithata sehelluwk denenwa,Neutral 
ane manda me rate minissunta kohoma kalth waradi kawada me rata hadei da,Neutral 
ta hikena rap eka ooi eka fatta mana elama para ekanam jaathi jaathi bosaaa,Neutral 
iraj kyana kathawa aththa bn parana wenna wenna thama bn mewage athal eka thynne  ❤,Neutral 
oya kaduwala ai ane oyataram tattu gewal hdanne lokema kadu kadan watenawa gewal ekka,Neutral 
wesiye tho pirimi thun denek ekka newei pirimi ekka danna ona nedakin thukk witharak,Hate
rayan oya aran ana artista katha karanna denne na oya madin panala katha karanawa,Neutral 
ewagema aksha kiwwa anuhas ekka aya randu karanna hithenne na kiyala eth randu karanawane,Neutral 
sadhu sadhu sadhu sadhu sadhu sadhu sadhu sadhu sadhu most powerful and metta parittas,Neutral 
pathali para haththa akekwath ethuru karanna epa okunge daruwanta edala hena gahanawa para ballo,Offensive 
ara kolla tawa podden guti kanawa eta passe anun wenuwen udaukaranna gihin kelo gannawa,Neutral 
mu kathakala wadi nadda ekak gahuwama kohomada katata awa pana uda paninna epa wadiya,Offensive 
aiye gdk duk widala amaruwen diyunu una amaruwen igenagaththa ganu lamai gennala katha karannako ,Neutral 
me song eka tharuma tharama hitata danana song ekak mata thama hambela naha thanks iraj,Neutral 
ranjan ta ona dene bm u karanane lanakwe inna manda manasika hatat metana awilla haminenawa,Offensive 
nodakin sakkili pakayange pake party ponna parapura oya hutthawal nathuwa thopita daanna wena dewal nadda,Hate
ane gon abiman ayi kuruluta la ghane atta hoyanna uda maruwat laga tiyana kuruluta baninawa,Offensive 
niwan suwa pathanawa hoda hithank thiyana aka manussayek hari hitapu aka gana sathutui udau karanna,Neutral 
mama hithuveth hamadenama katha venneth munta bombayak gahala aluth kandayamak thiraganna ona kiyana eka thamai,Offensive 
me inne weni loke ratak kiyana ape lankawe gonnudha amerikawe gonnudha ane danna ekek kiyahallako,Offensive 
munta mahasona gahalada diwawal adagana konda kadagana than aliyadagana prissu kalinna aka minihak thoraganin ganiya,Offensive 
falin brand aka godak milai a wunata a brand aka thama hodama akai ochchara ganan ,Neutral 
chamu sri oyath den comming out wenna kale hari neda oyaa gay kiyala den hemoma dannawa,Offensive 
oya building approve arapu eun kaurut den ne ara marana walata kauda danne ne waga kiyanne,Offensive 
allanna kocharatho thiyanawa hiru eke ayata wada nathuwa paw me wage ayawa allala mama wada karanawa,Offensive 
makita ammata hukawanna oni mekige kimbata gahapu vidiyata den eti mi wade wage nodokin towage weciyek,Hate
sir ammeknathi unama gedara aya manasika pidanaya denakota me widiyata api hitha haiya karaganne kohomada kiyala,Neutral 
oya paraya ehem kiyal a gaanunge yoniye wanda behet gaawada dan na dannawane kari uurange hati,Hate
waydda veddyawa meccara diynu waela tiyaedith mooda wedakaranwa tuhuk nodkin arankiywa nemai mekilawai athadanguwata ganna ooney,Offensive 
sinhala ballek paw sinhala kella dusanaya karala marapu akawa bella kapala maranda onai nettham wadi thiyanda,Hate
me dewal jiwithe hadaganna kenekta godak watinawa mewa balala hadena eka thama watinne sirta godak pin,Neutral 
menna ratawal menna minissu ape ratawal wala inna jathin thunema gothrikayo tika manussayo karala inna wenawa,Neutral 
mahattaya oyata api godak adarei tamai ath illagena kanna hadanna epa oyatath minissu drohiyek vidihata salakai,Neutral 
lankawe deshapalaneta anawata wada hoday gedarata wela enna aka sanga kiyana kridakaya baluwenawata api asa ne,Neutral 
me wage minisu dekkama loku satutak denenawaarabi kiyanne darunu minisu inne ratak ath meyala ehema ne,Neutral 
obata sathutuida den yahapalaneh bauddhaya nethi karala danawa ape sinhala un thawath unp ekata kade yamau,Offensive 
mun badina unta harak paiyyak welala puke arinta one yako mun ganu wage inna pirimi yako,Offensive 
rs gane wath thibunanam hodai mudala wagema kriyawath uthum mitath wada wadagath rakiya labadimata uthsaha kirima,Neutral 
pramoth aiye oyata waradune ne aiye oyya hemadama ape hero adarei hemadamath api ambilipitiye set eka,Neutral 
denaie monga modachun wadie anawashya dayak mun ma karuwa aka mach akak denala moun porawala wala,Neutral 
me kellanta loku manasika viyakula thawayaka thiyenawa full track out treatment kare nathnm mala keliyak wenne  😬 💣 💥 ,Offensive 
in general you should use fragrance free detergent for baby clothes you two are too cute ,Neutral 
patta wesi iya yako badina ekath ekka hitapiya wesiyo thamange pirisidukama rekagena inna one yako wesiyo ,Hate
muuta banina wele unsubscribe karala onnnan content ekatath report ekak dahalla bn boruwata baninna ona nane  😆 😆 ,Neutral 
pirimi nisai oya hambakaran kanne ai e minissunwa baldu karanne lassana one age kate puke nemei hithe,Offensive 
oba wahanse rata ta dune honda adarshayak swaminwansale me karane th anagathe parapurata honda dakamak budu saranaii,Neutral 
wesuya bodiyak adagen yanna onannam adagena pala sigiri apsarawo tho wageda bola aga lassanada thoge wal wesi,Hate
indaking belli thok nodaking gaanuntath ekka nindithay yakoo meka lassana aagamika daarmika ratak belliye hena gahapiya thokwitharak,Hate
ganu kiyanne harima saktimat ganu saktimat nownot pirimi ndaruo hadai vatema ganunta ganiyek natinam ada lokayak kohinda,Neutral 
sirama katwak kiuwe watina kathawak sthusthi may samajaya danuwath karanna may adarana loku meheumata godak sthuthi obathumata,Neutral 
api oba samagai mathiduni ane ape rata beradenna awith unp eke kalakanni ape rata winasa karala thiyenne,Neutral 
obathumalage paalanaya yali enna oni ahama aawe naththam me rata winasavei api okkoma akathuvela api okkoma akathuvemu,Neutral 
mona dekarath manussayo api nihathamani wenna oni pali ganim waire pennanna yana eka hari katha vidihatai penne,Neutral 
mudalin maninna beri unath karapu de me minissu agayapu eka watinwa edithara hith ratata onema welwak meka,Neutral 
ani pai kateyata denna ko love msg leyanna hodama set teka toilet eka pura bulath kala kela,Neutral 
mokaedda mme kala kaniyek ai yako eka wisuruwama baya hitapalla pennenna danwath ara bahirawayata arliyagahamaduren yanna kiyapalla,Offensive 
salli malu delath ganna bari una bahuthare pissu pakayata una hadenawa u n p karayo akathu unama,Offensive 
math asai mewa dakiddi babek hadanna eth tama man bedala ne badapu dawsata aniwaren chutiy patiyek genawa  😙 😙 ,Neutral 
shik kisima lejjavak nethi heti duvage vayase kollekt love karanna bendata passe katha krnn venne puthe kiyl thmi,Offensive 
aye rajayea hodea niladaren mawatea sambanda wannea lankawa iwarsye mun okkoma kiseema ratateata wada daye pudgalayo nawaye kalakanneayo,Offensive 
hmm vatina vadagath lipiyak mevani videos dinapatha gena anna ethama vatinava bohoma sthuthi sir suba davasak mallika kuwait,Neutral 
wenadata wada dan apita sri lanka policiya gana wiswasayak adarayak thiyenawa rata wenuwen janathawa wenuwen diwipudana obalata niwansuwa,Neutral 
meketh innawa desapaluwonge puka hodana un unta jarawa modda kiyala aduraganna ba ekai unta desapaluwo gana kakkumen dagalanne,Offensive 
mun nam patta wesiyo tikak ai mewata wiruddawa piyawarak ganna bari mun ganu sanhayhiyatama lajjawak mulu ratatama pililayak,Hate
fillt brothel ekak daagaththa nam hondai such cheapos kanna nethuwata mewatath enawa neh kiiyak hari hoyanna kamak ne ithin,Neutral 
ape sinhala un ballo wage police allanna apuwahama yanawa ratata kudu genapu thopita bari ai kelapiyaw okkotma deepiyaw stf,Offensive 
police walata denna epa gahala marapiyau gamama ekatu welaaa aaya apa aran avith karanneth oya tikama tamy sakkiki ballo,Offensive 
hondama bulat tika thamai res wela thiyenne sellm na me oara praba giya loke vecansi thiyenawa anith aeuntath yanna,Neutral 
bus aheka kochchiyaka sheet ekak denna ba fb wall ekenam manussa kama onatharam sinhala jathiya loke wada wemin pawathi,Offensive 
ammoo matath theruna since tikak epa ma una vishayak hebei hodata therum ganna puluwan jiwa widyawa awobodaya hodai getum aduiiy,Neutral 
apit kiyanna akama ratak akama nitiyak ko etin adikarana amatita kiyanna,Neutral 
mu wge kalakni hatha munta hena ghnwa ubalta me wta gewna wei,Offensive 
mama nam awe meke comment kiyawanna patta katha theyanne hina yanawa thaniyama,Neutral 
mge ammt mw hmb wenn iddi mge thththth mhm lngin hitiy nm ,Neutral 
lankawta korona bo kala i diya sabadathada rat inna aya thawat asarana kala,Neutral 
meki awa wattala kandy ekata usama usa dandek ekka awe baduwa wage awe meki ,Offensive 
munwa midiya walata gana unta gahanna ona okita dipan harak paiyak ona widihata gaha ganna,Offensive 
edakin lajja neti belliyo maha loku niliyo menna meun edakin meun panna ona balu hethta,Offensive 
gon ponnayo mea wagea kunu weaseyanwa ayea penwanna eaapa ubatatah puka pala ganna weannea ok,Offensive 
heshitha aiye gon wesiyo hinda thena nethi karanna epa bn aparade oya hadagaththa thena aparade ,Hate
minissu banna kiyala ubala diyunu wela kiyala hithanna epa wadakata nathi dewal samajeta danna epa l,Offensive 
ane piumi tikak thanpath weyan pirimiyek essarahadi wath ara daru patiyata pare bahala yanna eda thiyapan,Offensive 
meee sinduwa puraawata kati karala tiyena kuweniya windapu anoora duka sinduwa ahaddi hadawathata danenne mata witarada,Neutral 
yaku muge wayase hatiyatada weda asahana karaya  😂 🤣 heta anidda wala kajja gahanna inne ekek neda me  😂,Offensive 
ahisaka minissu talanna epa puja hutti hamadema karala dan kotawanne ane katawak unat atta oppu karanna,Offensive 
mekath maha ponna pake aanduwak keri gootata konda panane ellum gaha geenna neddakin vitharak ponna rela,Hate
sir ethakota nandamma yelige prashneth enne mea osap wima hamara wena kaledi hinda wenna ati neada,Offensive 
thattayaa mokek daa uuu karikii karikii innee pissek wagee udauu karannee nathywaa mona pissek daa mandaa,Hate
kotinge ata deka suppu karapan gihin cari wesi me wesitanm hodak sidda wenne nehe hena gahapan,Hate
deshapalanaya wenai sabawaka kuhaka kam kirieema anumatha karanna ba kalawa kiyanne sundarathwaya misak kuhaka kama neme,Neutral 
munta pissu mun me nati nasthi karanne ape salli monatada api munta meva karanna bale denneeeee,Offensive 
like anek ratawala ehema unath lankawe ehema wenne nea suddanta enna kiymu ape rata balnna kiyamu,Offensive 
kiyanna kanagaatui ape lankawe mewage unanam mokakin mokak weida danne ne aa tharamatama gunayahapath kam adui,Neutral 
me manussaya okkoma hira gewal ethule wena dewal kiwane ee nisada koheda ayeth athulata danna hadanne,Neutral 
gdk lassanayi deweni kotasak karanna denna ekathu wena ekak me dennam dala e song eka karana,Neutral 
me wage gon huththiyo hinda thamai lankawata kela wila thiyenna gon harak ekka mona kathada bn  😂 😂 😂 😂 ,Hate
oya mahe wesita thibune kellawa kalin hospital ekata yawanna yathuru hilen putha hukanawa balagena agilla gahagaththalu parak,Hate
puthata kelala maranna ahinsaka kello gedarata gennapu amma wath hireta danna aparada kalath ekai anubala dunnath ekai,Hate
ehenm palaweni dawasema train ride ekak yanda oneemokada dawas deka thunak giyata passe owwa mukuth nee ne,Neutral 
kauru mona widiyata dakkath meka ahagena innakota me palidasinhalada kiyala hithen na hithata pudumakara sahalluwak danenawa aththatama,Neutral 
ape ayata thama happunama nidahasata karu daahak thiyenne break nathiwuna// lissuwaa/ dakke nahe / eka para panna,Neutral 
me manthe salli dansal denna dufpath apema salli koitharam horakan karla adda thawa koitharam adda mu laga,Neutral 
sinduwa lassanai vedio eka nam patta kathaiona kenekta balanna puluwan widiyata vedio ekak hadannaape ratata mona welada manda,Offensive 
yako munge rolo geda eka ibeta areno wahane arna ynna puluwnnanm ara minssunta kiynna beri unada huthige putho,Offensive 
nathi una paula pau eth eyalage kale echcharai welawa enakota api yanna one he himi minissu monawa karannada,Neutral 
all the men here who keep vomiting on women while hating them are the ones with tiny dicks,Neutral 
oya kalakani hetta tawath hiray tiyannetuwa alla mara danna pasal lamun kudu walin bera ganna lankawata giya kalak,Offensive 
tharjana karala baya karala kudu walata ebbehi kara nam me manussya meruna eken tharuna jevitha walata yahapath wei,Offensive 
tnl ekata fonseka enawaa mahaththayo puluwan ada sf gr ekathu wela me rata goda ganna rata gana hithalaa,Neutral 
mun naluwo da nattam rastiyadu kara chandi da oka award k ganna welawak nathuwa picatin karana welawak newei,Offensive 
mama adambarawanawa magana nodanna tawa ayata makadi lankawat wani tana innawa gugal walin singapore anith waddo apita passa,Neutral 
police niladarin sadahada hamuda puhunuwa aniwaraya kala yuthui thawada sema police sthanayak sadaha stf niladari dedenek diya uthui,Neutral 
oka shampoo akaka add akak wenna athi sure akatama ponna weda munge api babala kylada danne hitagena inne,Offensive 
mewata balu postra kiyana eunta therenne nadda mewaye inne ballo kiyala ungema aya thamayi mewata balu bostra kiyanne,Offensive 
yako tho puka dipan aliyala yuddayak nethi karapu gena hithapa ekai rate minissu nidahase inne gas buruwa tho,Offensive 
pala pala muhudu higanna ubala kade yanne ratakata hodak wena dekata neme ubala salli maththema merena huththige puthalaa,Offensive 
india  🇮 🇳 apu un thamai korona aran avith thiyenne hariyata hoyala balala minisunta chodana karanne ai indian un gana nokiyanne,Offensive 
views ganna me wage caption dala video danna epa ponnayo trending awama balapn thiyana dewal lamainuth mewa balanwa ponnaya,Offensive 
obalata kathi usaviyata yanna oney obala minihath ekka hodata hitiyanam obey tharama dana ganna puluwao mehema issarata avilla kiyanakota,Offensive 
songs kanna epa buruwo kochchara lassana sindu kanna epa ubalata song karanna barinam nikan edapan thiyana ewa kanna epa,Neutral 
maha banku kolla kapu hora kapu ahinsakae wage minissungen jiwath wena sakkilinta nithiyak naha hamdama thlune podi asaran manusayo,Offensive 
kosala uba wage ewunta policeye niladarain muna kerath waradi anika hamudawelata wage policeye ayath awurudu pansen yanna dunanm iwarai,Neutral 
rata vinasa krna nuugathun piri center k lesy pitarata aya dan hithanne meyala hodha balu natum natala pennuvane neda,Offensive 
match dinala mehema kiyawanna epa balamu meyala eelaga match tika kana heti monawa kalat world cup yana eka sihinayak,Neutral 
unge salli unge jeewithe unge party eka iwasanna bari ape un methana dharma saakachchaa denawa boruwata ane palayan yako yanna,Neutral 
quality of the drama is so low now : what;s going on in this drama the song is very good,Neutral 
ape anagatha akama balaporothuwa obaii deera veera adithara singha rajuni ahimimawa yana ape nidahasa sanaseema nawatha apihamata labadenna obathuma budusaranai,Neutral 
me enni lankawe enna superima ponnayoi superima wesaviyo thopita ohoma wela madi sadacharayak nathi awajathaka haththa ratata gilapina wedihata wadakarapan,Offensive 
a kiyapu okkoma atha bro that good really she is very open and honestly girl beautifully and sexy baby good luck,Neutral 
ranjan going to marry hir surely it will happan bec both camistry is good that vibration is good both of them,Neutral 
mama gay kanek eth mama godka duk vinda hetuwa ape rate minissu igena gattata attami hadawatak terum ganna ba,Offensive 
anunge kunu hodanna epa ballo thoge ganitai lamaitait owa pala dei thota lesi pahasu manasika ledak neme tiyenne,Offensive 
anee attata mariccja minigek hari kamak nee pawicchi karala prasidda wenda hadana mahsma maha kuppa jatiyak inne sri lankawe,Offensive 
iraj hadawadath karanwa e unata me wage wal balliyo allan rate watina kalakaruwo winasa karanna hoda mewa maha thuppai wada,Offensive 
me video wala inna girls athi lassnak nh niruwatha penn nisa wen athi mun lassna kiyl kattiy hithn inne 😂 😂,Neutral 
oka boru kiyanne allapugedara hitiyanam eda dawasema hangila hitiye moko hours hangila idala chodana awama boruwata awa honda muuna pennanna,Neutral 
boru kiyanna epa oi thamuselata ballo puso car beranna puluwannam adal wesi minissu sathunta wada hapanda bn thopilata hena ganawa,Offensive 
kari hutti tho minissu ekka budiyala corona hadagena patta hutti apita job ekak nidahase karagannath ne curfew daala nisa thota henama gapn 😬 😬 😬 😬 😬,Hate
gaarmaente vala hati api dannavaa nivaaduei naaa nivaadu elluva ma baninava padi kapaenavaaaaaaa keedaenaek una thiyaeddei wadakaranna athida,Neutral 
kari sakkili topita sapa tope paulwalatat sapa henapita hena akunu ghanne kari sakkili topita korona hdila mariyau para ballo,Offensive 
gewal unata kamak na neethi virodee nm kada damanna nokadana nisa thama me lesa gewal hadanne pujaneeya sthana vinasa kara,Neutral 
kattiya ma ekathu wela oya thambiyanta gahanna ekak nadda kawuru hari patan ganna oni rajayan karala dan ne owwa,Offensive 
dannam ivasuva athi tambinta nelanna venava lagadima migomuve tambi tikata okkotama issarin nelanna ona dan balan hitiya athi,Offensive 
pau daviyanae ae daruwo mana hari deakin wardi karanna ati aet kamara allaagaena lokaeatama paenwana aekanam hoda na,Neutral 
rangana obagey programme ekata rstings wedi karaganda may karspu wadey snthima nindithai obata kisima maadhya sadaachaarayak nah harima pahath,Neutral 
ma vaseta nowa lajja natta payyak teyagana ma wadasatahana karana topey ponnayo mokakda ma huttegan samajata ganna teyana da,Offensive 
konda pana nathe minissu hamuduruwonta dos kiyanawa wenuwata me wage agayanna puluwan deyak kara nam mona tharam aganeeda,Neutral 
priyanka choprata nick jonasta nokiyapu katha samithata kiyanawa munta mewwa magic wage manussayekta katha karana vidiya minissu kiyanne ai munta,Neutral 
mewa karanne athulata ridawanna oyala tharaha ganna epa thaniwela kalayak hitapu ganiyekuta podi kollek hamuwunama ohoma wenawa,Offensive 
oya aunty pemalage duwa neyda oya hitiay nayakakanda pokuna paray nyda oya ai mahana unay katholika ny,Offensive 
imehenin wansd hamu wela sasara duka niwaganna awssai mniyan wahanse wada wasana stan dana ganna usmanai,Neutral 
wives ganna oya wage wada karannepa okata ape agame aya gawa gannepa uba ube agame ewun gennahan gon athal deepan,Offensive 
mamaya mageya kiyala deyak na kiyana eka therum ganne sowan weddi  😅 eth mage nuwara kutiyak thiyanawa kiyanne  😂,Offensive 
anunnga sini kirana videos danna natuva samajayata vadak ati dayak danna machan pleeeze apa rata api baraganna ona bn akai mahama keyanna,Neutral 
minisun rewateemata hekke itha seemitha kaalayak bawa sithanna rewateema wishwaya wisin walakana bawada salakanna this is not for ranjan,Neutral 
meeta wada view ganna puluwan bun kelimma welakma demma nam thuu nodakin gom badu form karanna dena gon aathal,Offensive 
umbra nam maha mi harakek yako umba mokatada lankawe ipadune oita wada nambui umbra hi walaka ipadunanam,Offensive 
thambi balliyo neda me police kanthawata gahanne nodakin yako marakkala heaththa okilage kata kadanna kawruwath naddoooooooooo lankawa weanasila thambi heaththagen 👎 🤬 😬 😡,Offensive 
mage athe weapon ekak ekka ethanata giyaanam raajakaariyata baadaa kela okkotama danihen pahalata wedi thiyanawaa diwwa ekaage olukatta polisiyata genawaa,Offensive 
arundennawa meh drama eken ayin karanna kivvama mundennata thawa sinduwakuth deela ane manda meh edirimuni ayya  😩 😇 😇 😇 😇 😇,Neutral 
mu wenuwen kadulu salana pinna jatiyak inna ratak lankawa kari ponnayo nattiye ada hoyanne natiwa unade hodai kiyapiyau,Offensive 
rajayata galapena news dena ayatanayana madush maranna ana nikut kara parlimentuwe wakage nirdoshi bawaya oppu kala janapathita ape suba patum,Neutral 
aka satha k wadi karanna epa okuntawada karanna bai nam job eken elawannaeliye job nathi ewun oni tharam ennawa,Neutral 
podi daruwo dusanaya karala maranawa ewata mokuth na ane pau apahasa neme karanna thibbe kumarihamita bella mirikala maranna,Offensive 
hamadama ithin ahanna wenne kohen hari genapu ekak gana thamai ape rate nispadanayak kiyala ahanna wena ekak naha,Neutral 
indiawen genna oneda oowa lankawe ennawa onnataran weddo oitawada hodata haganna puluwan kutti pitin ekapara gasaganna project oowa,Neutral 
monawada oii mewa thamuselath views ganna ona jarawak danawa wadagath deyak dala ratata wadak athi deyak karala salli hoyanawa,Offensive 
me song eke sansara sihinaya tittle ekath dapu eke ma nubhe kumara kiyala demmanam hodai mokada ekane wediyenma kiyanne,Neutral 
mu idagena betting walin lakawa parada karawala hari salli hambakaranawa athi habai ea salli cricket board ekata hambenne na,Neutral 
anduwe ona tharam horu innawa oka anduwe ekak kaloth uta naduth na mokuth na,Offensive 
sumathipala pamanak iwath kalata wedak naha ekata manapa un hatagananak withara innawa unuth me game wala kotas karayo,Neutral 
oba miyagiyada hada awadi nokala amana deeshapalakayin oba marademu un malapasu hadanagai oba ipadunee weradi rataka obata niwan suwa,Neutral 
habai bonna dun nathi eka katha wada oya wedding ekata apu un kohomath pitin bonaw neh,Neutral 
mona pakaya hada kauwada danne naath me rata nidahas kara gaththa me wage minihek gen athal ganna apa,Hate
gon badu serama methana police karayo ganika madam walata painawa harinm me gon badu tikai allanna one ponna police karayo,Offensive 
ado a edit eka nm international quality ekatath wada deyak dakinna puluwan aiyee patta a concept ekath maru,Neutral 
lankwe meeta passe kisina sadranayak wenne na kisima minihekuta salli karayanta ara eka pigattat nattat atha eeka,Neutral 
mun balaya alla gane mehemathi me thinduwa genwe paliment eken haa sinhala bahudda ayath puluwan wala danna ,Offensive 
pissu geniyek salli wenuwen enga wikunan kana gonek kethe behe lejjai geniyek kiyannath koithram honda genu innawada loke nun gonnu ,Offensive 
mn mekita private msg karaa maawa block karaa dn pirimita arka krnwa meka krnwa kiynawa boruwta parsiddiye owa kiynne hit wenna ,Offensive 
travel with wife eka ada dala thiyna photo eke ara babawa genna akkge athe thiynne ekata kiyana nama mokda ,Neutral 
redi vananakota rack ekakama vanannna balanna gas valata sambanda karala thyena valaka dammoth kubi ehema babage adum valata yanna puluvan  🥰 ,Neutral 
gaanu kenek gen me widiyta loketa penna prashna ahnwa kiynne pita kondak nathi kama pradarshanaya krnwa wage wdk ,Neutral 
iya shik thamange paudgalikathwaya eka ekata pennana wesiyo thamange miniha ekka hitapiya thota thaththala aiyala mallila ne ,Hate
iraj boruwata naked hoda na kiyanna wal hatta thamai prone wadiyen hoyanne aneka song theme akata match wenna ona niyamai iraj wow,Offensive 
ane mey kudu tv pakaya kohma hari kiyanne awajthakak katha dan itin gota ekka hamaniyaw eka eka minissunta kiyala boru katha nokiya,Hate
ammge uththe kathi lanawe tamai me sellam eka ratak eka nithiyak kaudaa lankawe karanne inne okkoma janadi pathiyo unge wasiya vitharai balanne,Offensive 
moka unath thawath amma kenek oya ektara words tikak witarai yanna thalawathugoda bambalapitiya battaramulla kochhara lamai godak rate nasti wenawada kiyala,Neutral 
sir mata sirge number eka denna plzzz mata deyak pilibadawa sirgen ahnna thynwa mn mokakda krnna ona kiyla therenne na sir,Neutral 
thoge labba apita epa yako weera senpathi kenek apita innawa janadhipathi ekka deel noda ee manussayata niyama thana deepen ponna hattha 😠 😠 😠 😠,Hate
news newaradi karanna hadanna epa organised karala tibuna vidiyata wada kerrnna one ehema kamati nati kenek innawanam samana nogena inna one,Neutral 
oyaga rail mhatayata minisu chanda dunbar magma koranta tame nmuth it a klalin central bank akata wada dunanahour wanuvan horu una,Offensive 
obalaata kmid karanna pramaada unaa mama kaama kanin gamn dansala baluwe goodak pin amatitumani upadina aatmayaka raajiyata rajikma weewaa poohoodina budusaranaii,Neutral 
oya oyata kala haki de kalayou are a great person i respect you sirnamuth oyata oyage jiwithaya nathi unaekagana godak dukai,Neutral 
balapankoo police karayage kathawa api wage waraddak kala nam sudda sinhalen banala athulatath danawa lamboginiyak thibba nisa da koheda mahaththayoo gawe,Neutral 
hoda wade utto ubata anunge kunu hoynawata youtuber kenk wene koma bn uba melo rahak nathi interview labbawal  zero creativity level ,Neutral 
sanskruthiya parahaniyata path enawa mewa beluwama me balapuwama inba param parawama nomaga yanna balanawa ai mewa madyata danne lejjai apith genu ,Neutral 
ane ponna pakayo monada me samaje kanna epa wesige putha thoge amma genath ahapan bandinna kalin room giyada kiyala mal ponnaya ,Hate
jesus ge namayen me siyalu anthawadin dewiyan wahanse sammuka wewa dewiyan wahansege namayen me siyaluma pawkarayo polowata pas wewa amen  🙏 🙏,Neutral 
harima wedagath interview ekak api sehenna dewal igena gatta meka balala me wage adarshamath video thawa thawath karanna shakthiya lebewa  🙏 🏽,Neutral 
hamudruana hodata kana waga karana bududhama natekarana apa pinda pata yana apa kala bila satapana bududhama kana apa waga hamuduruwoo,Neutral 
mokakda me wenne terum ganna ba attada boruda kiyala kalin hamuduruwaru tikak me wage kiwa dan mehenin wahanselat patan aragena,Neutral 
kanna berinam nikan inna kiyapan okunta kanna denneth shinsaka minissunge badu mudalin okunta merila yannama denna ona karapu pahara wedawalata,Offensive 
okage mulu paulama vinasa wela palayan deviyane  😭 😭 me karapu saha gahana aparadeta mekun ella maranna one netiwa nam hare yanne,Offensive 
ape ratata genna ona owa newe hoda hadichcha silachara minissu tikak dan inna un tikawa koheta hari aduwata vikunala dala,Neutral 
aththa katha karana minihata kawadawath samawak naha anika janadhipathi samawa dunnata passe thawath mona magulakda dan rate thiyenne kalaa neethiya,Neutral 
ai ban me wage asarana minissungen pali ganne ban hamdema hadagen aliyata awilla hodin iddi me wage sakkili wada karanne,Offensive 
vedio ekak karanna epa meka me widihata lassanai mn hoya hoya htye meka vedio ekak karala sinduwa knna epa plzzz,Neutral 
